cl_node_id;lat;lon;zip_code
31;33.9611447;-118.43709212;90293
33;33.96171627;-118.44010321;90293
40;33.96042385;-118.39448679;90045
73;33.95671727;-118.42577825;90045
74;33.95722887;-118.4026548;90045
76;33.95645124;-118.43876019;90293
81;33.9572266;-118.4043534;90045
103;33.95302478;-118.4423173;90293
106;33.95297787;-118.44010308;90293
118;33.96066731;-118.41464992;90045
222;33.95523114;-118.38157803;90045
237;33.95005359;-118.37252708;90045
256;33.94705201;-118.37367456;90045
173;33.95880759;-118.43266994;90293
210;33.95616616;-118.39036026;90045
220;33.9590234;-118.38265758;90045
57041;33.9646288;-118.42848023;90045
57059;34.24654851;-118.6081703;91311
57070;34.18845192;-118.35949976;91505
57513;33.96198552;-118.25504025;90001
57515;33.95743766;-118.25484514;90002
57532;33.95207596;-118.25504277;0
57533;33.97391766;-118.25506866;90001
57543;34.27398586;-118.56980126;91326
57559;34.26729096;-118.48476298;91344
10;33.95693194;-118.44728013;90293
13;33.95593178;-118.44633749;90293
21;33.95516135;-118.44625752;90293
22;33.95339694;-118.44560863;90293
613;33.98502143;-118.29803318;90044
618;33.98550823;-118.31531199;90047
624;33.98415152;-118.30024737;90047
630;33.98365677;-118.32158632;90043
659;33.98235994;-118.30718743;90047
666;33.98186509;-118.30895202;90047
674;33.98182206;-118.32236617;90043
717;33.98106865;-118.32257796;90043
721;33.97982361;-118.31583671;90047
746;33.9806105;-118.3235548;90043
56153;34.05346077;-118.53109376;0
747;33.97818169;-118.32357287;90043
767;33.9773477;-118.32650677;90043
772;33.97700536;-118.31585769;90047
779;33.97639114;-118.31872044;90043
1004;33.98324749;-118.30894877;90047
1564;33.98414095;-118.29148075;90044
799;33.97619692;-118.31586369;90047
823;33.97367251;-118.31555001;90047
845;33.97457387;-118.30243305;90047
867;33.97180991;-118.3286542;90043
889;33.96908763;-118.3177496;90305
922;33.96728915;-118.3068183;90047
935;33.96728534;-118.29926829;90044
954;33.99235045;-118.30456024;90062
973;33.98910572;-118.29583631;90044
322;33.98169959;-118.34733424;90302
328;33.98168359;-118.3532522;90302
332;33.97731897;-118.37178209;90045
345;33.97305418;-118.38204555;90045
350;33.97201451;-118.38433918;90045
364;33.9699675;-118.38983017;90045
371;33.96906541;-118.383154;90045
397;33.98707857;-118.35003738;90043
409;33.98527752;-118.35268314;0
449;33.96931534;-118.37736447;90045
481;33.99230881;-118.29584557;90037
496;33.9909392;-118.31603069;90062
544;33.98807448;-118.33777677;90043
560;33.98728452;-118.3196124;90043
582;33.98631027;-118.32857301;90043
593;33.98549152;-118.31767156;90047
596;33.98547763;-118.31962632;90043
1748;33.95271325;-118.31337331;90047
1792;33.94699409;-118.31616606;90047
1817;33.94319758;-118.30573225;90047
1404;33.9933957;-118.26519756;90011
1406;33.99330607;-118.27830195;90037
1424;33.98245779;-118.2564391;90001
1457;33.9708035;-118.2782946;90003
1460;33.96879741;-118.26732781;90003
1821;33.94319267;-118.31121629;90047
1024;33.97913059;-118.30460095;90047
1026;33.97912607;-118.3067801;90047
1050;33.97619004;-118.30242609;90047
1051;33.97619063;-118.31335511;90047
1053;33.97618499;-118.31116472;90047
1060;33.97458267;-118.31683698;90047
1071;33.973656;-118.30897113;90047
1077;33.97275821;-118.30679653;90047
1079;33.97456494;-118.30784479;90047
1087;33.97092509;-118.3002974;90044
1089;33.97090915;-118.32647096;90305
1106;33.96638991;-118.31555927;90047
1110;33.96548396;-118.3155605;90047
1118;33.97092063;-118.3131066;90047
1122;33.96728587;-118.30024022;90047
1151;33.99252635;-118.25644344;90011
1174;33.99298079;-118.24453578;90011
1222;33.98715934;-118.26518176;90003
1224;33.98608469;-118.26635153;90003
1243;33.98595981;-118.28266409;90003
1293;33.97881393;-118.26662904;90003
1302;33.97789378;-118.26954779;90003
1352;33.97275721;-118.27392019;90003
1634;33.97735677;-118.28595115;90044
1650;33.98217939;-118.28704378;90044
1670;33.96094036;-118.29588039;90044
1671;33.96094292;-118.29398844;90044
1719;33.95506145;-118.29042123;90044
2047;33.94829007;-118.27387327;90003
2056;33.94814182;-118.24298875;90002
4537;34.01284051;-118.35128933;90008
4547;34.01184534;-118.35517146;90008
4589;34.00685523;-118.34997323;90008
4593;34.00625775;-118.34989189;90008
4596;34.00501764;-118.35074053;90008
4600;34.00320331;-118.35574531;90008
4606;34.00092081;-118.35878065;90008
2782;33.86198419;-118.30262352;90248
2804;33.84288192;-118.30659279;90501
2117;33.94327763;-118.25410917;90002
2120;33.94324862;-118.24624214;90002
2121;33.94320598;-118.24247727;0
2122;33.94322308;-118.24348689;90002
2142;33.94192558;-118.26733706;90003
2147;33.94154303;-118.24044922;90002
2178;33.93884121;-118.24869762;90002
2218;33.93565469;-118.26081618;90059
2237;33.93447623;-118.26296145;90059
2666;33.91642252;-118.28699468;90247
2702;33.91881657;-118.28299461;90044
1512;33.96876649;-118.27390219;90003
1530;33.96689764;-118.28124182;90003
1544;33.96790132;-118.27389833;90003
1555;33.98911262;-118.28925116;90044
1862;33.9543059;-118.30025501;90047
1872;33.95271536;-118.31555754;90047
1936;33.95807184;-118.26512437;90003
1984;33.95377582;-118.27169212;90003
1994;33.9528994;-118.26078246;90002
1996;33.95288774;-118.26296605;90002
2005;33.95192317;-118.27169412;90003
4691;34.02293079;-118.32595945;90018
4700;34.02280892;-118.31382535;90018
4705;34.02240968;-118.3350984;90018
4714;34.02106236;-118.30889242;90018
4717;34.02186293;-118.2977156;90007
4728;34.01836242;-118.29441215;90007
4752;34.0146003;-118.32707715;90008
4759;34.01083174;-118.31706905;90062
4762;34.0102138;-118.2933375;90037
4770;34.00992655;-118.3089132;90062
4772;34.00991784;-118.3001739;90062
2551;33.91333171;-118.28935899;90247
2569;33.90565727;-118.28990583;90247
2584;33.92368977;-118.29016731;90044
2596;33.91436198;-118.28709778;90247
2598;33.92006231;-118.28855564;90044
